GDP and main components (output, expenditure and income) [nama_10_gdp];;;;;;;;;;
;;;;;;;;;;
Last update;30.11.18;;;;;;;;;
Extracted on;02.12.18;;;;;;;;;
Source of data;Eurostat;;;;;;;;;
;;;;;;;;;;
UNIT;Chain linked volumes, index 2010=100;;;;;;;;;
NA_ITEM;Gross domestic product at market prices;;;;;;;;;
;;;;;;;;;;
GEO/TIME;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
European Union (current composition);102,4;98;100;101,8;101,3;101,6;103,5;105,8;108;110,6
European Union (without United Kingdom);102,3;97,9;100;101,8;101;101;102,6;105;107,2;109,9
European Union (15 countries);102,4;97,9;100;101,6;101,1;101,3;103;105,3;107,3;109,7
Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19);102,5;98;100;101,6;100,7;100,5;101,9;104,1;106,1;108,6
Euro area (19 countries);102,6;98;100;101,6;100,8;100,5;101,9;104,1;106,1;108,6
Euro area (12 countries);102,5;98;100;101,6;100,7;100,4;101,8;103,9;105,9;108,4
Belgium;99,6;97,3;100;101,8;102;102,2;103,5;105,3;106,9;108,7
Bulgaria;102,4;98,7;100;101,9;101,9;102,5;104,3;108;112,2;116,5
Czechia;102,7;97,8;100;101,8;101;100,5;103,2;108,7;111,3;116,1
Denmark;103,2;98,2;100;101,3;101,6;102,5;104,2;106,6;109,2;111,6
Germany (until 1990 former territory of the FRG);101,8;96,1;100;103,7;104,2;104,7;107;108,8;111,3;113,7
Estonia;114,7;97,8;100;107,6;112,2;114,4;117,7;119,9;124,1;130,2
Ireland;103,3;98,1;100;103,7;103,9;105,3;114,6;143,3;150,5;161,4
Greece;110,6;105,8;100;90,9;84,2;81,5;82,1;81,7;81,6;82,8
Spain;103,7;100;100;99;96,1;94,5;95,8;99,3;102,4;105,5
France;101;98,1;100;102,2;102,5;103,1;104,1;105,2;106,5;108,8
Croatia;109,5;101,5;100;99,7;97,4;96,9;96,8;99,1;102,6;105,6
Italy;104;98,3;100;100,6;97,7;96,1;96,2;97;98,2;99,7
Cyprus;100,7;98,7;100;100,4;97,5;91,9;90,7;92,4;96,9;101
Latvia;121,6;104,1;100;106,4;110,7;113,4;115,5;118,9;121,4;127
Lithuania;115,5;98,4;100;106;110,1;114;118;120,4;123,2;128,3
Luxembourg;99,7;95,4;100;102,5;102,2;105,9;110,5;114,8;117,6;119,4
Hungary;106,4;99,3;100;101,7;100;102,1;106,4;110,2;112,7;117,3
Malta;99;96,6;100;101,3;104,1;108,9;117,8;129;135,7;144,8
Netherlands;102,4;98,7;100;101,6;100,5;100,4;101,8;103,8;106,1;109,1
Austria;102;98,2;100;102,9;103,6;103,6;104,3;105,5;107,7;110,4
Poland;93,9;96,5;100;105;106,7;108,2;111,8;116,1;119,6;125,4
Portugal;101,1;98,1;100;98,2;94,2;93,2;94;95,7;97,5;100,3
Romania;109,4;102,9;100;102;104,1;107,8;111,5;115,8;121,3;130,1
Slovenia;107,1;98,8;100;100,6;98;96,9;99,7;102;105,1;110,3
Slovakia;100,7;95,2;100;102,8;104,5;106,1;109;113,5;117,1;120,8
Finland;105,8;97,1;100;102,6;101,1;100,3;99,7;99,8;102,3;105,2
Sweden;99,5;94,3;100;102,7;102,4;103,6;106,3;111,1;114,1;116,5
United Kingdom;102,7;98,3;100;101,6;103,1;105,2;108,3;110,9;112,9;114,8
Iceland;111,1;103,6;100;101,9;103,2;107,5;109,7;114,6;123;127,9
